
SUB_K: 
[ 1, 1]: 4.200e+04 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]:-4.200e+04 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 0.000e+00 [ 1,20]: 0.000e+00 [ 1,21]: 0.000e+00 [ 1,22]: 0.000e+00 [ 1,23]: 0.000e+00 [ 1,24]: 0.000e+00 
[ 2, 1]: 0.000e+00 [ 2, 2]: 1.678e+01 [ 2, 3]: 0.000e+00 [ 2, 4]: 0.000e+00 [ 2, 5]: 0.000e+00 [ 2, 6]: 4.195e+03 [ 2, 7]: 0.000e+00 [ 2, 8]:-1.678e+01 [ 2, 9]: 0.000e+00 [ 2,10]: 0.000e+00 [ 2,11]: 0.000e+00 [ 2,12]: 4.195e+03 [ 2,13]: 0.000e+00 [ 2,14]: 0.000e+00 [ 2,15]: 0.000e+00 [ 2,16]: 0.000e+00 [ 2,17]: 0.000e+00 [ 2,18]: 0.000e+00 [ 2,19]: 0.000e+00 [ 2,20]: 0.000e+00 [ 2,21]: 0.000e+00 [ 2,22]: 0.000e+00 [ 2,23]: 0.000e+00 [ 2,24]: 0.000e+00 
[ 3, 1]: 0.000e+00 [ 3, 2]: 0.000e+00 [ 3, 3]: 1.678e+01 [ 3, 4]: 0.000e+00 [ 3, 5]:-4.195e+03 [ 3, 6]: 0.000e+00 [ 3, 7]: 0.000e+00 [ 3, 8]: 0.000e+00 [ 3, 9]:-1.678e+01 [ 3,10]: 0.000e+00 [ 3,11]:-4.195e+03 [ 3,12]: 0.000e+00 [ 3,13]: 0.000e+00 [ 3,14]: 0.000e+00 [ 3,15]: 0.000e+00 [ 3,16]: 0.000e+00 [ 3,17]: 0.000e+00 [ 3,18]: 0.000e+00 [ 3,19]: 0.000e+00 [ 3,20]: 0.000e+00 [ 3,21]: 0.000e+00 [ 3,22]: 0.000e+00 [ 3,23]: 0.000e+00 [ 3,24]: 0.000e+00 
[ 4, 1]: 0.000e+00 [ 4, 2]: 0.000e+00 [ 4, 3]: 0.000e+00 [ 4, 4]: 2.304e+05 [ 4, 5]: 0.000e+00 [ 4, 6]: 0.000e+00 [ 4, 7]: 0.000e+00 [ 4, 8]: 0.000e+00 [ 4, 9]: 0.000e+00 [ 4,10]:-2.304e+05 [ 4,11]: 0.000e+00 [ 4,12]: 0.000e+00 [ 4,13]: 0.000e+00 [ 4,14]: 0.000e+00 [ 4,15]: 0.000e+00 [ 4,16]: 0.000e+00 [ 4,17]: 0.000e+00 [ 4,18]: 0.000e+00 [ 4,19]: 0.000e+00 [ 4,20]: 0.000e+00 [ 4,21]: 0.000e+00 [ 4,22]: 0.000e+00 [ 4,23]: 0.000e+00 [ 4,24]: 0.000e+00 
[ 5, 1]: 0.000e+00 [ 5, 2]: 0.000e+00 [ 5, 3]:-4.195e+03 [ 5, 4]: 0.000e+00 [ 5, 5]: 1.399e+06 [ 5, 6]: 0.000e+00 [ 5, 7]: 0.000e+00 [ 5, 8]: 0.000e+00 [ 5, 9]: 4.195e+03 [ 5,10]: 0.000e+00 [ 5,11]: 6.987e+05 [ 5,12]: 0.000e+00 [ 5,13]: 0.000e+00 [ 5,14]: 0.000e+00 [ 5,15]: 0.000e+00 [ 5,16]: 0.000e+00 [ 5,17]: 0.000e+00 [ 5,18]: 0.000e+00 [ 5,19]: 0.000e+00 [ 5,20]: 0.000e+00 [ 5,21]: 0.000e+00 [ 5,22]: 0.000e+00 [ 5,23]: 0.000e+00 [ 5,24]: 0.000e+00 
[ 6, 1]: 0.000e+00 [ 6, 2]: 4.195e+03 [ 6, 3]: 0.000e+00 [ 6, 4]: 0.000e+00 [ 6, 5]: 0.000e+00 [ 6, 6]: 1.399e+06 [ 6, 7]: 0.000e+00 [ 6, 8]:-4.195e+03 [ 6, 9]: 0.000e+00 [ 6,10]: 0.000e+00 [ 6,11]: 0.000e+00 [ 6,12]: 6.987e+05 [ 6,13]: 0.000e+00 [ 6,14]: 0.000e+00 [ 6,15]: 0.000e+00 [ 6,16]: 0.000e+00 [ 6,17]: 0.000e+00 [ 6,18]: 0.000e+00 [ 6,19]: 0.000e+00 [ 6,20]: 0.000e+00 [ 6,21]: 0.000e+00 [ 6,22]: 0.000e+00 [ 6,23]: 0.000e+00 [ 6,24]: 0.000e+00 
[ 7, 1]:-4.200e+04 [ 7, 2]: 0.000e+00 [ 7, 3]: 0.000e+00 [ 7, 4]: 0.000e+00 [ 7, 5]: 0.000e+00 [ 7, 6]: 0.000e+00 [ 7, 7]: 8.400e+04 [ 7, 8]: 0.000e+00 [ 7, 9]: 0.000e+00 [ 7,10]: 0.000e+00 [ 7,11]: 0.000e+00 [ 7,12]: 0.000e+00 [ 7,13]:-4.200e+04 [ 7,14]: 0.000e+00 [ 7,15]: 0.000e+00 [ 7,16]: 0.000e+00 [ 7,17]: 0.000e+00 [ 7,18]: 0.000e+00 [ 7,19]: 0.000e+00 [ 7,20]: 0.000e+00 [ 7,21]: 0.000e+00 [ 7,22]: 0.000e+00 [ 7,23]: 0.000e+00 [ 7,24]: 0.000e+00 
[ 8, 1]: 0.000e+00 [ 8, 2]:-1.678e+01 [ 8, 3]: 0.000e+00 [ 8, 4]: 0.000e+00 [ 8, 5]: 0.000e+00 [ 8, 6]:-4.195e+03 [ 8, 7]: 0.000e+00 [ 8, 8]: 3.356e+01 [ 8, 9]: 0.000e+00 [ 8,10]: 0.000e+00 [ 8,11]: 0.000e+00 [ 8,12]:-5.588e-09 [ 8,13]: 0.000e+00 [ 8,14]:-1.678e+01 [ 8,15]: 0.000e+00 [ 8,16]: 0.000e+00 [ 8,17]: 0.000e+00 [ 8,18]: 4.195e+03 [ 8,19]: 0.000e+00 [ 8,20]: 0.000e+00 [ 8,21]: 0.000e+00 [ 8,22]: 0.000e+00 [ 8,23]: 0.000e+00 [ 8,24]: 0.000e+00 
[ 9, 1]: 0.000e+00 [ 9, 2]: 0.000e+00 [ 9, 3]:-1.678e+01 [ 9, 4]: 0.000e+00 [ 9, 5]: 4.195e+03 [ 9, 6]: 0.000e+00 [ 9, 7]: 0.000e+00 [ 9, 8]: 0.000e+00 [ 9, 9]: 3.356e+01 [ 9,10]: 0.000e+00 [ 9,11]:-8.848e-09 [ 9,12]: 0.000e+00 [ 9,13]: 0.000e+00 [ 9,14]: 0.000e+00 [ 9,15]:-1.678e+01 [ 9,16]: 0.000e+00 [ 9,17]:-4.195e+03 [ 9,18]: 0.000e+00 [ 9,19]: 0.000e+00 [ 9,20]: 0.000e+00 [ 9,21]: 0.000e+00 [ 9,22]: 0.000e+00 [ 9,23]: 0.000e+00 [ 9,24]: 0.000e+00 
[10, 1]: 0.000e+00 [10, 2]: 0.000e+00 [10, 3]: 0.000e+00 [10, 4]:-2.304e+05 [10, 5]: 0.000e+00 [10, 6]: 0.000e+00 [10, 7]: 0.000e+00 [10, 8]: 0.000e+00 [10, 9]: 0.000e+00 [10,10]: 4.608e+05 [10,11]: 0.000e+00 [10,12]: 0.000e+00 [10,13]: 0.000e+00 [10,14]: 0.000e+00 [10,15]: 0.000e+00 [10,16]:-2.304e+05 [10,17]: 0.000e+00 [10,18]: 0.000e+00 [10,19]: 0.000e+00 [10,20]: 0.000e+00 [10,21]: 0.000e+00 [10,22]: 0.000e+00 [10,23]: 0.000e+00 [10,24]: 0.000e+00 
[11, 1]: 0.000e+00 [11, 2]: 0.000e+00 [11, 3]:-4.195e+03 [11, 4]: 0.000e+00 [11, 5]: 6.987e+05 [11, 6]: 0.000e+00 [11, 7]: 0.000e+00 [11, 8]: 0.000e+00 [11, 9]:-8.848e-09 [11,10]: 0.000e+00 [11,11]: 2.797e+06 [11,12]: 0.000e+00 [11,13]: 0.000e+00 [11,14]: 0.000e+00 [11,15]: 4.195e+03 [11,16]: 0.000e+00 [11,17]: 6.987e+05 [11,18]: 0.000e+00 [11,19]: 0.000e+00 [11,20]: 0.000e+00 [11,21]: 0.000e+00 [11,22]: 0.000e+00 [11,23]: 0.000e+00 [11,24]: 0.000e+00 
