
SUB_M: 
[ 1, 1]: 1.300e-04 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]: 6.500e-05 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]:-9.803e-19 [ 1,20]: 8.294e-19 [ 1,21]: 2.143e-18 [ 1,22]: 8.612e-19 [ 1,23]: 1.076e-18 [ 1,24]:-2.963e-19 
[ 2, 1]: 0.000e+00 [ 2, 2]: 1.448e-04 [ 2, 3]: 0.000e+00 [ 2, 4]: 0.000e+00 [ 2, 5]: 0.000e+00 [ 2, 6]: 1.021e-02 [ 2, 7]: 0.000e+00 [ 2, 8]: 5.017e-05 [ 2, 9]: 0.000e+00 [ 2,10]: 0.000e+00 [ 2,11]: 0.000e+00 [ 2,12]:-6.041e-03 [ 2,13]: 0.000e+00 [ 2,14]: 0.000e+00 [ 2,15]: 0.000e+00 [ 2,16]: 0.000e+00 [ 2,17]: 0.000e+00 [ 2,18]: 0.000e+00 [ 2,19]: 2.438e-06 [ 2,20]: 1.318e-05 [ 2,21]: 8.215e-03 [ 2,22]:-1.818e-05 [ 2,23]: 3.665e-05 [ 2,24]:-9.944e-05 
[ 3, 1]: 0.000e+00 [ 3, 2]: 0.000e+00 [ 3, 3]: 1.448e-04 [ 3, 4]: 0.000e+00 [ 3, 5]:-1.021e-02 [ 3, 6]: 0.000e+00 [ 3, 7]: 0.000e+00 [ 3, 8]: 0.000e+00 [ 3, 9]: 5.017e-05 [ 3,10]: 0.000e+00 [ 3,11]: 6.041e-03 [ 3,12]: 0.000e+00 [ 3,13]: 0.000e+00 [ 3,14]: 0.000e+00 [ 3,15]: 0.000e+00 [ 3,16]: 0.000e+00 [ 3,17]: 0.000e+00 [ 3,18]: 0.000e+00 [ 3,19]: 8.215e-03 [ 3,20]:-5.687e-06 [ 3,21]:-2.420e-06 [ 3,22]: 3.638e-06 [ 3,23]: 9.385e-05 [ 3,24]: 5.072e-03 
[ 4, 1]: 0.000e+00 [ 4, 2]: 0.000e+00 [ 4, 3]: 0.000e+00 [ 4, 4]: 2.167e-03 [ 4, 5]: 0.000e+00 [ 4, 6]: 0.000e+00 [ 4, 7]: 0.000e+00 [ 4, 8]: 0.000e+00 [ 4, 9]: 0.000e+00 [ 4,10]: 1.083e-03 [ 4,11]: 0.000e+00 [ 4,12]: 0.000e+00 [ 4,13]: 0.000e+00 [ 4,14]: 0.000e+00 [ 4,15]: 0.000e+00 [ 4,16]: 0.000e+00 [ 4,17]: 0.000e+00 [ 4,18]: 0.000e+00 [ 4,19]:-2.284e-18 [ 4,20]: 3.028e-18 [ 4,21]:-3.436e-19 [ 4,22]:-3.392e-18 [ 4,23]: 1.049e-17 [ 4,24]:-2.516e-18 
[ 5, 1]: 0.000e+00 [ 5, 2]: 0.000e+00 [ 5, 3]:-1.021e-02 [ 5, 4]: 0.000e+00 [ 5, 5]: 9.287e-01 [ 5, 6]: 0.000e+00 [ 5, 7]: 0.000e+00 [ 5, 8]: 0.000e+00 [ 5, 9]:-6.041e-03 [ 5,10]: 0.000e+00 [ 5,11]:-6.968e-01 [ 5,12]: 0.000e+00 [ 5,13]: 0.000e+00 [ 5,14]: 0.000e+00 [ 5,15]: 0.000e+00 [ 5,16]: 0.000e+00 [ 5,17]: 0.000e+00 [ 5,18]: 0.000e+00 [ 5,19]:-8.829e-01 [ 5,20]: 6.112e-04 [ 5,21]: 2.601e-04 [ 5,22]:-3.910e-04 [ 5,23]:-5.923e-03 [ 5,24]:-3.201e-01 
[ 6, 1]: 0.000e+00 [ 6, 2]: 1.021e-02 [ 6, 3]: 0.000e+00 [ 6, 4]: 0.000e+00 [ 6, 5]: 0.000e+00 [ 6, 6]: 9.287e-01 [ 6, 7]: 0.000e+00 [ 6, 8]: 6.041e-03 [ 6, 9]: 0.000e+00 [ 6,10]: 0.000e+00 [ 6,11]: 0.000e+00 [ 6,12]:-6.968e-01 [ 6,13]: 0.000e+00 [ 6,14]: 0.000e+00 [ 6,15]: 0.000e+00 [ 6,16]: 0.000e+00 [ 6,17]: 0.000e+00 [ 6,18]: 0.000e+00 [ 6,19]: 2.620e-04 [ 6,20]: 1.417e-03 [ 6,21]: 8.829e-01 [ 6,22]:-1.954e-03 [ 6,23]: 2.313e-03 [ 6,24]:-6.276e-03 
[ 7, 1]: 6.500e-05 [ 7, 2]: 0.000e+00 [ 7, 3]: 0.000e+00 [ 7, 4]: 0.000e+00 [ 7, 5]: 0.000e+00 [ 7, 6]: 0.000e+00 [ 7, 7]: 2.600e-04 [ 7, 8]: 0.000e+00 [ 7, 9]: 0.000e+00 [ 7,10]: 0.000e+00 [ 7,11]: 0.000e+00 [ 7,12]: 0.000e+00 [ 7,13]: 6.500e-05 [ 7,14]: 0.000e+00 [ 7,15]: 0.000e+00 [ 7,16]: 0.000e+00 [ 7,17]: 0.000e+00 [ 7,18]: 0.000e+00 [ 7,19]:-1.833e-18 [ 7,20]: 3.405e-18 [ 7,21]: 3.938e-18 [ 7,22]: 3.687e-19 [ 7,23]: 2.649e-18 [ 7,24]: 2.898e-21 
[ 8, 1]: 0.000e+00 [ 8, 2]: 5.017e-05 [ 8, 3]: 0.000e+00 [ 8, 4]: 0.000e+00 [ 8, 5]: 0.000e+00 [ 8, 6]: 6.041e-03 [ 8, 7]: 0.000e+00 [ 8, 8]: 2.897e-04 [ 8, 9]: 0.000e+00 [ 8,10]: 0.000e+00 [ 8,11]: 0.000e+00 [ 8,12]: 4.621e-15 [ 8,13]: 0.000e+00 [ 8,14]: 5.017e-05 [ 8,15]: 0.000e+00 [ 8,16]: 0.000e+00 [ 8,17]: 0.000e+00 [ 8,18]:-6.041e-03 [ 8,19]: 8.115e-06 [ 8,20]: 8.228e-03 [ 8,21]: 8.202e-03 [ 8,22]:-5.326e-06 [ 8,23]:-5.109e-03 [ 8,24]: 1.925e-04 
[ 9, 1]: 0.000e+00 [ 9, 2]: 0.000e+00 [ 9, 3]: 5.017e-05 [ 9, 4]: 0.000e+00 [ 9, 5]:-6.041e-03 [ 9, 6]: 0.000e+00 [ 9, 7]: 0.000e+00 [ 9, 8]: 0.000e+00 [ 9, 9]: 2.897e-04 [ 9,10]: 0.000e+00 [ 9,11]: 8.936e-15 [ 9,12]: 0.000e+00 [ 9,13]: 0.000e+00 [ 9,14]: 0.000e+00 [ 9,15]: 5.017e-05 [ 9,16]: 0.000e+00 [ 9,17]: 6.041e-03 [ 9,18]: 0.000e+00 [ 9,19]: 8.211e-03 [ 9,20]:-1.851e-05 [ 9,21]: 1.578e-05 [ 9,22]: 8.218e-03 [ 9,23]:-1.529e-04 [ 9,24]:-5.070e-03 
[10, 1]: 0.000e+00 [10, 2]: 0.000e+00 [10, 3]: 0.000e+00 [10, 4]: 1.083e-03 [10, 5]: 0.000e+00 [10, 6]: 0.000e+00 [10, 7]: 0.000e+00 [10, 8]: 0.000e+00 [10, 9]: 0.000e+00 [10,10]: 4.333e-03 [10,11]: 0.000e+00 [10,12]: 0.000e+00 [10,13]: 0.000e+00 [10,14]: 0.000e+00 [10,15]: 0.000e+00 [10,16]: 1.083e-03 [10,17]: 0.000e+00 [10,18]: 0.000e+00 [10,19]:-2.888e-18 [10,20]: 3.993e-19 [10,21]: 3.675e-18 [10,22]: 1.800e-18 [10,23]: 1.756e-18 [10,24]: 6.760e-18 
[11, 1]: 0.000e+00 [11, 2]: 0.000e+00 [11, 3]: 6.041e-03 [11, 4]: 0.000e+00 [11, 5]:-6.968e-01 [11, 6]: 0.000e+00 [11, 7]: 0.000e+00 [11, 8]: 0.000e+00 [11, 9]: 8.936e-15 [11,10]: 0.000e+00 [11,11]: 1.857e+00 [11,12]: 0.000e+00 [11,13]: 0.000e+00 [11,14]: 0.000e+00 [11,15]:-6.041e-03 [11,16]: 0.000e+00 [11,17]:-6.968e-01 [11,18]: 0.000e+00 [11,19]: 8.833e-01 [11,20]: 7.672e-04 [11,21]:-2.217e-03 [11,22]:-8.825e-01 [11,23]:-2.198e-03 [11,24]:-3.202e-01 
