i,Freq,Ampl,Phase
1,1009.,3.593856e-008,179.5193
2,1018.,3.604851e-008,179.5124
3,1027.,3.616056e-008,179.5054
4,1036.,3.627475e-008,179.4983
5,1045.,3.639113e-008,179.491
6,1054.,3.650975e-008,179.4837
7,1063.,3.663067e-008,179.4762
8,1072.,3.675396e-008,179.4685
9,1081.,3.687966e-008,179.4608
10,1090.,3.700785e-008,179.4529
11,1099.,3.713858e-008,179.4449
12,1108.,3.727192e-008,179.4367
13,1117.,3.740795e-008,179.4284
14,1126.,3.754673e-008,179.4199
15,1135.,3.768835e-008,179.4112
16,1144.,3.783288e-008,179.4024
17,1153.,3.79804e-008,179.3934
18,1162.,3.8131e-008,179.3842
19,1171.,3.828477e-008,179.3749
20,1180.,3.844181e-008,179.3653
21,1189.,3.86022e-008,179.3555
22,1198.,3.876606e-008,179.3456
23,1207.,3.893348e-008,179.3354
24,1216.,3.910459e-008,179.3249
25,1225.,3.927949e-008,179.3143
26,1234.,3.94583e-008,179.3033
27,1243.,3.964117e-008,179.2922
28,1252.,3.982821e-008,179.2807
29,1261.,4.001957e-008,179.269
30,1270.,4.021539e-008,179.257
31,1279.,4.041583e-008,179.2447
32,1288.,4.062105e-008,179.232
33,1297.,4.083122e-008,179.2191
34,1306.,4.104652e-008,179.2058
35,1315.,4.126714e-008,179.1921
36,1324.,4.149326e-008,179.178
37,1333.,4.172511e-008,179.1636
38,1342.,4.196289e-008,179.1487
39,1351.,4.220685e-008,179.1334
40,1360.,4.245722e-008,179.1177
41,1369.,4.271426e-008,179.1014
42,1378.,4.297824e-008,179.0847
43,1387.,4.324946e-008,179.0674
44,1396.,4.352821e-008,179.0496
45,1405.,4.381483e-008,179.0312
46,1414.,4.410964e-008,179.0122
47,1423.,4.441302e-008,178.9925
48,1432.,4.472536e-008,178.9722
49,1441.,4.504707e-008,178.9512
50,1450.,4.537857e-008,178.9294
51,1459.,4.572035e-008,178.9068
52,1468.,4.607289e-008,178.8833
53,1477.,4.643673e-008,178.859
54,1486.,4.681244e-008,178.8337
55,1495.,4.720062e-008,178.8074
56,1504.,4.760193e-008,178.78
57,1513.,4.801708e-008,178.7516
58,1522.,4.84468e-008,178.7219
59,1531.,4.889191e-008,178.6909
60,1540.,4.935329e-008,178.6586
61,1549.,4.983186e-008,178.6248
62,1558.,5.032865e-008,178.5895
63,1567.,5.084476e-008,178.5525
64,1576.,5.138138e-008,178.5137
65,1585.,5.193981e-008,178.4731
66,1594.,5.252144e-008,178.4303
67,1603.,5.312781e-008,178.3854
68,1612.,5.376061e-008,178.3382
69,1621.,5.442165e-008,178.2883
70,1630.,5.511294e-008,178.2358
71,1639.,5.58367e-008,178.1802
72,1648.,5.659534e-008,178.1214
73,1657.,5.739155e-008,178.0591
74,1666.,5.822827e-008,177.9931
75,1675.,5.910881e-008,177.9228
76,1684.,6.003681e-008,177.848
77,1693.,6.101634e-008,177.7683
78,1702.,6.205198e-008,177.6831
79,1711.,6.314883e-008,177.5919
80,1720.,6.431267e-008,177.4942
81,1729.,6.555e-008,177.3891
82,1738.,6.686821e-008,177.2759
83,1747.,6.827573e-008,177.1537
84,1756.,6.978221e-008,177.0214
85,1765.,7.139871e-008,176.8778
86,1774.,7.313804e-008,176.7215
87,1783.,7.501507e-008,176.5509
88,1792.,7.704718e-008,176.364
89,1801.,7.925477e-008,176.1586
90,1810.,8.166201e-008,175.9318
91,1819.,8.429769e-008,175.6805
92,1828.,8.719639e-008,175.4008
93,1837.,9.040002e-008,175.0878
94,1846.,9.395982e-008,174.7357
95,1855.,9.79391e-008,174.337
96,1864.,1.024169e-007,173.8827
97,1873.,1.074934e-007,173.361
98,1882.,1.132969e-007,172.7567
99,1891.,1.199946e-007,172.0499
100,1900.,1.278081e-007,171.2137
101,1909.,1.370366e-007,170.2116
102,1918.,1.48093e-007,168.9923
103,1927.,1.615604e-007,167.4818
104,1936.,1.78283e-007,165.5694
105,1945.,1.995152e-007,163.0842
106,1954.,2.271584e-007,159.7496
107,1963.,2.641026e-007,155.0972
108,1972.,3.144623e-007,148.301
109,1981.,3.822054e-007,137.8985
110,1990.,4.613364e-007,121.6757
111,1999.,5.087629e-007,98.58065
112,2008.,4.67967e-007,73.7661
113,2017.,3.759394e-007,54.67904
114,2026.,2.92225e-007,42.25213
115,2035.,2.303185e-007,34.27382
116,2044.,1.858351e-007,28.95004
117,2053.,1.532542e-007,25.23737
118,2062.,1.286906e-007,22.55036
