
 LIST ALL SELECTED NODES.   DSYS=      0

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R3          19.5     ***
 DISTRIBUTED ANSYS Academic Research                           

 00208316  VERSION=WINDOWS x64   14:40:51  JUN 10, 2020 CP=      0.469

 Piezo-APA95ML-beamElm--Modal (B5)                                             



    NODE        X             Y             Z           THXY     THYZ     THZX
    76423   0.0000       0.30000E-001   0.0000          0.00     0.00     0.00
    76424   0.0000        0.0000        0.0000          0.00     0.00     0.00
    76429   0.0000      -0.30000E-001   0.0000          0.00     0.00     0.00
    76430 -0.35000E-001   0.0000        0.0000          0.00     0.00     0.00
    76431  0.28000E-001   0.0000        0.0000          0.00     0.00     0.00
    76432  0.21000E-001   0.0000        0.0000          0.00     0.00     0.00
    76433  0.14000E-001   0.0000        0.0000          0.00     0.00     0.00
    76434  0.70000E-002   0.0000        0.0000          0.00     0.00     0.00
    76435   0.0000        0.0000        0.0000          0.00     0.00     0.00
    76436 -0.70000E-002   0.0000        0.0000          0.00     0.00     0.00
    76437 -0.14000E-001   0.0000        0.0000          0.00     0.00     0.00
    76438 -0.21000E-001   0.0000        0.0000          0.00     0.00     0.00
    76439 -0.28000E-001   0.0000        0.0000          0.00     0.00     0.00
    76440  0.35000E-001   0.0000        0.0000          0.00     0.00     0.00

 /OUTPUT FILE= TEMP
