
 LIST MASTERS ON ALL SELECTED NODES.
 CURRENT DOF SET= UX   UY   UZ   ROTX ROTY ROTZ
  NODE DOF
       1 UX  
       1 UY  
       1 UZ  
       1 ROTX
       1 ROTY
       1 ROTZ
       2 UX  
       2 UY  
       2 UZ  
       2 ROTX
       2 ROTY
       2 ROTZ
       3 UX  
       3 UY  
       3 UZ  
       3 ROTX
       3 ROTY
       3 ROTZ
 LIST ALL SELECTED NODES.   DSYS=      0
    NODE        X             Y             Z           THXY     THYZ     THZX
        1   0.0000        0.0000        0.0000          0.00     0.00     0.00
        2  0.63000E-001   0.0000        0.0000          0.00     0.00     0.00
        3  0.70000E-001   0.0000        0.0000          0.00     0.00     0.00
       13  0.50000E-004   0.0000        0.0000          0.00     0.00     0.00
       14  0.10000E-003   0.0000        0.0000          0.00     0.00     0.00
       15  0.15000E-003   0.0000        0.0000          0.00     0.00     0.00
       16  0.20000E-003   0.0000        0.0000          0.00     0.00     0.00
       17  0.25000E-003   0.0000        0.0000          0.00     0.00     0.00
       18  0.30000E-003   0.0000        0.0000          0.00     0.00     0.00
       19  0.35000E-003   0.0000        0.0000          0.00     0.00     0.00
       20  0.40000E-003   0.0000        0.0000          0.00     0.00     0.00
       21  0.45000E-003   0.0000        0.0000          0.00     0.00     0.00
       22  0.50000E-003   0.0000        0.0000          0.00     0.00     0.00
       23  0.55000E-003   0.0000        0.0000          0.00     0.00     0.00
       24  0.60000E-003   0.0000        0.0000          0.00     0.00     0.00
       25  0.65000E-003   0.0000        0.0000          0.00     0.00     0.00
       26  0.70000E-003   0.0000        0.0000          0.00     0.00     0.00
       27  0.75000E-003   0.0000        0.0000          0.00     0.00     0.00
       28  0.80000E-003   0.0000        0.0000          0.00     0.00     0.00
       29  0.85000E-003   0.0000        0.0000          0.00     0.00     0.00
    NODE        X             Y             Z           THXY     THYZ     THZX
       30  0.90000E-003   0.0000        0.0000          0.00     0.00     0.00
       31  0.95000E-003   0.0000        0.0000          0.00     0.00     0.00
       32  0.10000E-002   0.0000        0.0000          0.00     0.00     0.00
       33  0.10500E-002   0.0000        0.0000          0.00     0.00     0.00
       34  0.11000E-002   0.0000        0.0000          0.00     0.00     0.00
       35  0.11500E-002   0.0000        0.0000          0.00     0.00     0.00
       36  0.12000E-002   0.0000        0.0000          0.00     0.00     0.00
       37  0.12500E-002   0.0000        0.0000          0.00     0.00     0.00
       38  0.13000E-002   0.0000        0.0000          0.00     0.00     0.00
       39  0.13500E-002   0.0000        0.0000          0.00     0.00     0.00
       40  0.14000E-002   0.0000        0.0000          0.00     0.00     0.00
       41  0.14500E-002   0.0000        0.0000          0.00     0.00     0.00
       42  0.15000E-002   0.0000        0.0000          0.00     0.00     0.00
       43  0.15500E-002   0.0000        0.0000          0.00     0.00     0.00
       44  0.16000E-002   0.0000        0.0000          0.00     0.00     0.00
       45  0.16500E-002   0.0000        0.0000          0.00     0.00     0.00
       46  0.17000E-002   0.0000        0.0000          0.00     0.00     0.00
       47  0.17500E-002   0.0000        0.0000          0.00     0.00     0.00
       48  0.18000E-002   0.0000        0.0000          0.00     0.00     0.00
       49  0.18500E-002   0.0000        0.0000          0.00     0.00     0.00
    NODE        X             Y             Z           THXY     THYZ     THZX
       50  0.19000E-002   0.0000        0.0000          0.00     0.00     0.00
       51  0.19500E-002   0.0000        0.0000          0.00     0.00     0.00
       52  0.20000E-002   0.0000        0.0000          0.00     0.00     0.00
       53  0.20500E-002   0.0000        0.0000          0.00     0.00     0.00
       54  0.21000E-002   0.0000        0.0000          0.00     0.00     0.00
       55  0.21500E-002   0.0000        0.0000          0.00     0.00     0.00
       56  0.22000E-002   0.0000        0.0000          0.00     0.00     0.00
       57  0.22500E-002   0.0000        0.0000          0.00     0.00     0.00
       58  0.23000E-002   0.0000        0.0000          0.00     0.00     0.00
       59  0.23500E-002   0.0000        0.0000          0.00     0.00     0.00
       60  0.24000E-002   0.0000        0.0000          0.00     0.00     0.00
       61  0.24500E-002   0.0000        0.0000          0.00     0.00     0.00
       62  0.25000E-002   0.0000        0.0000          0.00     0.00     0.00
       63  0.25500E-002   0.0000        0.0000          0.00     0.00     0.00
       64  0.26000E-002   0.0000        0.0000          0.00     0.00     0.00
       65  0.26500E-002   0.0000        0.0000          0.00     0.00     0.00
       66  0.27000E-002   0.0000        0.0000          0.00     0.00     0.00
       67  0.27500E-002   0.0000        0.0000          0.00     0.00     0.00
       68  0.28000E-002   0.0000        0.0000          0.00     0.00     0.00
       69  0.28500E-002   0.0000        0.0000          0.00     0.00     0.00
    NODE        X             Y             Z           THXY     THYZ     THZX
       70  0.29000E-002   0.0000        0.0000          0.00     0.00     0.00
       71  0.29500E-002   0.0000        0.0000          0.00     0.00     0.00
       72  0.30000E-002   0.0000        0.0000          0.00     0.00     0.00
       73  0.30500E-002   0.0000        0.0000          0.00     0.00     0.00
       74  0.31000E-002   0.0000        0.0000          0.00     0.00     0.00
       75  0.31500E-002   0.0000        0.0000          0.00     0.00     0.00
       76  0.32000E-002   0.0000        0.0000          0.00     0.00     0.00
       77  0.32500E-002   0.0000        0.0000          0.00     0.00     0.00
       78  0.33000E-002   0.0000        0.0000          0.00     0.00     0.00
       79  0.33500E-002   0.0000        0.0000          0.00     0.00     0.00
       80  0.34000E-002   0.0000        0.0000          0.00     0.00     0.00
       81  0.34500E-002   0.0000        0.0000          0.00     0.00     0.00
       82  0.35000E-002   0.0000        0.0000          0.00     0.00     0.00
       83  0.35500E-002   0.0000        0.0000          0.00     0.00     0.00
       84  0.36000E-002   0.0000        0.0000          0.00     0.00     0.00
       85  0.36500E-002   0.0000        0.0000          0.00     0.00     0.00
       86  0.37000E-002   0.0000        0.0000          0.00     0.00     0.00
       87  0.37500E-002   0.0000        0.0000          0.00     0.00     0.00
       88  0.38000E-002   0.0000        0.0000          0.00     0.00     0.00
       89  0.38500E-002   0.0000        0.0000          0.00     0.00     0.00
    NODE        X             Y             Z           THXY     THYZ     THZX
       90  0.39000E-002   0.0000        0.0000          0.00     0.00     0.00
       91  0.39500E-002   0.0000        0.0000          0.00     0.00     0.00
       92  0.40000E-002   0.0000        0.0000          0.00     0.00     0.00
       93  0.40500E-002   0.0000        0.0000          0.00     0.00     0.00
       94  0.41000E-002   0.0000        0.0000          0.00     0.00     0.00
       95  0.41500E-002   0.0000        0.0000          0.00     0.00     0.00
       96  0.42000E-002   0.0000        0.0000          0.00     0.00     0.00
       97  0.42500E-002   0.0000        0.0000          0.00     0.00     0.00
       98  0.43000E-002   0.0000        0.0000          0.00     0.00     0.00
       99  0.43500E-002   0.0000        0.0000          0.00     0.00     0.00
      100  0.44000E-002   0.0000        0.0000          0.00     0.00     0.00
      101  0.44500E-002   0.0000        0.0000          0.00     0.00     0.00
      102  0.45000E-002   0.0000        0.0000          0.00     0.00     0.00
      103  0.45500E-002   0.0000        0.0000          0.00     0.00     0.00
      104  0.46000E-002   0.0000        0.0000          0.00     0.00     0.00
      105  0.46500E-002   0.0000        0.0000          0.00     0.00     0.00
      106  0.47000E-002   0.0000        0.0000          0.00     0.00     0.00
      107  0.47500E-002   0.0000        0.0000          0.00     0.00     0.00
      108  0.48000E-002   0.0000        0.0000          0.00     0.00     0.00
      109  0.48500E-002   0.0000        0.0000          0.00     0.00     0.00
    NODE        X             Y             Z           THXY     THYZ     THZX
      110  0.49000E-002   0.0000        0.0000          0.00     0.00     0.00
      111  0.49500E-002   0.0000        0.0000          0.00     0.00     0.00
      112  0.50000E-002   0.0000        0.0000          0.00     0.00     0.00
      113  0.50500E-002   0.0000        0.0000          0.00     0.00     0.00
      114  0.51000E-002   0.0000        0.0000          0.00     0.00     0.00
      115  0.51500E-002   0.0000        0.0000          0.00     0.00     0.00
      116  0.52000E-002   0.0000        0.0000          0.00     0.00     0.00
      117  0.52500E-002   0.0000        0.0000          0.00     0.00     0.00
      118  0.53000E-002   0.0000        0.0000          0.00     0.00     0.00
      119  0.53500E-002   0.0000        0.0000          0.00     0.00     0.00
      120  0.54000E-002   0.0000        0.0000          0.00     0.00     0.00
      121  0.54500E-002   0.0000        0.0000          0.00     0.00     0.00
      122  0.55000E-002   0.0000        0.0000          0.00     0.00     0.00
      123  0.55500E-002   0.0000        0.0000          0.00     0.00     0.00
      124  0.56000E-002   0.0000        0.0000          0.00     0.00     0.00
      125  0.56500E-002   0.0000        0.0000          0.00     0.00     0.00
      126  0.57000E-002   0.0000        0.0000          0.00     0.00     0.00
      127  0.57500E-002   0.0000        0.0000          0.00     0.00     0.00
      128  0.58000E-002   0.0000        0.0000          0.00     0.00     0.00
      129  0.58500E-002   0.0000        0.0000          0.00     0.00     0.00
    NODE        X             Y             Z           THXY     THYZ     THZX
      130  0.59000E-002   0.0000        0.0000          0.00     0.00     0.00
      131  0.59500E-002   0.0000        0.0000          0.00     0.00     0.00
      132  0.60000E-002   0.0000        0.0000          0.00     0.00     0.00
      133  0.60500E-002   0.0000        0.0000          0.00     0.00     0.00
      134  0.61000E-002   0.0000        0.0000          0.00     0.00     0.00
      135  0.61500E-002   0.0000        0.0000          0.00     0.00     0.00
      136  0.62000E-002   0.0000        0.0000          0.00     0.00     0.00
