
MAT_K: 
[ 1, 1]: 1.111e+08 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]:-1.111e+08 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 0.000e+00 [ 1,20]: 0.000e+00 [ 1,21]: 0.000e+00 [ 1,22]: 0.000e+00 [ 1,23]: 0.000e+00 [ 1,24]: 0.000e+00 [ 1,25]: 0.000e+00 [ 1,26]: 0.000e+00 [ 1,27]: 0.000e+00 [ 1,28]: 0.000e+00 [ 1,29]: 0.000e+00 [ 1,30]: 0.000e+00 [ 1,31]: 0.000e+00 [ 1,32]: 0.000e+00 [ 1,33]: 0.000e+00 [ 1,34]: 0.000e+00 [ 1,35]: 0.000e+00 [ 1,36]: 0.000e+00 [ 1,37]: 0.000e+00 [ 1,38]: 0.000e+00 [ 1,39]: 0.000e+00 [ 1,40]: 0.000e+00 [ 1,41]: 0.000e+00 [ 1,42]: 0.000e+00 [ 1,43]: 0.000e+00 [ 1,44]: 0.000e+00 [ 1,45]: 0.000e+00 [ 1,46]: 0.000e+00 [ 1,47]: 0.000e+00 [ 1,48]: 0.000e+00 
[ 2, 1]: 0.000e+00 [ 2, 2]: 2.597e+06 [ 2, 3]: 0.000e+00 [ 2, 4]: 1.316e-08 [ 2, 5]: 0.000e+00 [ 2, 6]: 8.182e+04 [ 2, 7]: 0.000e+00 [ 2, 8]:-2.597e+06 [ 2, 9]: 0.000e+00 [ 2,10]: 0.000e+00 [ 2,11]: 0.000e+00 [ 2,12]: 8.182e+04 [ 2,13]: 0.000e+00 [ 2,14]: 0.000e+00 [ 2,15]: 0.000e+00 [ 2,16]: 0.000e+00 [ 2,17]: 0.000e+00 [ 2,18]: 0.000e+00 [ 2,19]: 0.000e+00 [ 2,20]: 0.000e+00 [ 2,21]: 0.000e+00 [ 2,22]: 0.000e+00 [ 2,23]: 0.000e+00 [ 2,24]: 0.000e+00 [ 2,25]: 0.000e+00 [ 2,26]: 0.000e+00 [ 2,27]: 0.000e+00 [ 2,28]: 0.000e+00 [ 2,29]: 0.000e+00 [ 2,30]: 0.000e+00 [ 2,31]: 0.000e+00 [ 2,32]: 0.000e+00 [ 2,33]: 0.000e+00 [ 2,34]: 0.000e+00 [ 2,35]: 0.000e+00 [ 2,36]: 0.000e+00 [ 2,37]: 0.000e+00 [ 2,38]: 0.000e+00 [ 2,39]: 0.000e+00 [ 2,40]: 0.000e+00 [ 2,41]: 0.000e+00 [ 2,42]: 0.000e+00 [ 2,43]: 0.000e+00 [ 2,44]: 0.000e+00 [ 2,45]: 0.000e+00 [ 2,46]: 0.000e+00 [ 2,47]: 0.000e+00 [ 2,48]: 0.000e+00 
[ 3, 1]: 0.000e+00 [ 3, 2]: 0.000e+00 [ 3, 3]: 2.597e+06 [ 3, 4]: 1.504e-05 [ 3, 5]:-8.182e+04 [ 3, 6]: 0.000e+00 [ 3, 7]: 0.000e+00 [ 3, 8]: 0.000e+00 [ 3, 9]:-2.597e+06 [ 3,10]: 6.522e-06 [ 3,11]:-8.182e+04 [ 3,12]: 0.000e+00 [ 3,13]: 0.000e+00 [ 3,14]: 0.000e+00 [ 3,15]: 0.000e+00 [ 3,16]: 0.000e+00 [ 3,17]: 0.000e+00 [ 3,18]: 0.000e+00 [ 3,19]: 0.000e+00 [ 3,20]: 0.000e+00 [ 3,21]: 0.000e+00 [ 3,22]: 0.000e+00 [ 3,23]: 0.000e+00 [ 3,24]: 0.000e+00 [ 3,25]: 0.000e+00 [ 3,26]: 0.000e+00 [ 3,27]: 0.000e+00 [ 3,28]: 0.000e+00 [ 3,29]: 0.000e+00 [ 3,30]: 0.000e+00 [ 3,31]: 0.000e+00 [ 3,32]: 0.000e+00 [ 3,33]: 0.000e+00 [ 3,34]: 0.000e+00 [ 3,35]: 0.000e+00 [ 3,36]: 0.000e+00 [ 3,37]: 0.000e+00 [ 3,38]: 0.000e+00 [ 3,39]: 0.000e+00 [ 3,40]: 0.000e+00 [ 3,41]: 0.000e+00 [ 3,42]: 0.000e+00 [ 3,43]: 0.000e+00 [ 3,44]: 0.000e+00 [ 3,45]: 0.000e+00 [ 3,46]: 0.000e+00 [ 3,47]: 0.000e+00 [ 3,48]: 0.000e+00 
[ 4, 1]: 0.000e+00 [ 4, 2]: 1.316e-08 [ 4, 3]: 1.504e-05 [ 4, 4]: 6.095e+02 [ 4, 5]:-1.342e-07 [ 4, 6]: 6.334e-13 [ 4, 7]: 0.000e+00 [ 4, 8]: 7.771e-13 [ 4, 9]: 6.522e-06 [ 4,10]:-6.095e+02 [ 4,11]: 9.222e-08 [ 4,12]:-2.422e-14 [ 4,13]: 0.000e+00 [ 4,14]: 0.000e+00 [ 4,15]: 0.000e+00 [ 4,16]: 0.000e+00 [ 4,17]: 0.000e+00 [ 4,18]: 0.000e+00 [ 4,19]: 0.000e+00 [ 4,20]: 0.000e+00 [ 4,21]: 0.000e+00 [ 4,22]: 0.000e+00 [ 4,23]: 0.000e+00 [ 4,24]: 0.000e+00 [ 4,25]: 0.000e+00 [ 4,26]: 0.000e+00 [ 4,27]: 0.000e+00 [ 4,28]: 0.000e+00 [ 4,29]: 0.000e+00 [ 4,30]: 0.000e+00 [ 4,31]: 0.000e+00 [ 4,32]: 0.000e+00 [ 4,33]: 0.000e+00 [ 4,34]: 0.000e+00 [ 4,35]: 0.000e+00 [ 4,36]: 0.000e+00 [ 4,37]: 0.000e+00 [ 4,38]: 0.000e+00 [ 4,39]: 0.000e+00 [ 4,40]: 0.000e+00 [ 4,41]: 0.000e+00 [ 4,42]: 0.000e+00 [ 4,43]: 0.000e+00 [ 4,44]: 0.000e+00 [ 4,45]: 0.000e+00 [ 4,46]: 0.000e+00 [ 4,47]: 0.000e+00 [ 4,48]: 0.000e+00 
[ 5, 1]: 0.000e+00 [ 5, 2]: 0.000e+00 [ 5, 3]:-8.182e+04 [ 5, 4]:-1.342e-07 [ 5, 5]: 3.503e+03 [ 5, 6]: 0.000e+00 [ 5, 7]: 0.000e+00 [ 5, 8]: 0.000e+00 [ 5, 9]: 8.182e+04 [ 5,10]:-9.222e-08 [ 5,11]: 1.651e+03 [ 5,12]: 0.000e+00 [ 5,13]: 0.000e+00 [ 5,14]: 0.000e+00 [ 5,15]: 0.000e+00 [ 5,16]: 0.000e+00 [ 5,17]: 0.000e+00 [ 5,18]: 0.000e+00 [ 5,19]: 0.000e+00 [ 5,20]: 0.000e+00 [ 5,21]: 0.000e+00 [ 5,22]: 0.000e+00 [ 5,23]: 0.000e+00 [ 5,24]: 0.000e+00 [ 5,25]: 0.000e+00 [ 5,26]: 0.000e+00 [ 5,27]: 0.000e+00 [ 5,28]: 0.000e+00 [ 5,29]: 0.000e+00 [ 5,30]: 0.000e+00 [ 5,31]: 0.000e+00 [ 5,32]: 0.000e+00 [ 5,33]: 0.000e+00 [ 5,34]: 0.000e+00 [ 5,35]: 0.000e+00 [ 5,36]: 0.000e+00 [ 5,37]: 0.000e+00 [ 5,38]: 0.000e+00 [ 5,39]: 0.000e+00 [ 5,40]: 0.000e+00 [ 5,41]: 0.000e+00 [ 5,42]: 0.000e+00 [ 5,43]: 0.000e+00 [ 5,44]: 0.000e+00 [ 5,45]: 0.000e+00 [ 5,46]: 0.000e+00 [ 5,47]: 0.000e+00 [ 5,48]: 0.000e+00 
[ 6, 1]: 0.000e+00 [ 6, 2]: 8.182e+04 [ 6, 3]: 0.000e+00 [ 6, 4]: 6.334e-13 [ 6, 5]: 0.000e+00 [ 6, 6]: 3.503e+03 [ 6, 7]: 0.000e+00 [ 6, 8]:-8.182e+04 [ 6, 9]: 0.000e+00 [ 6,10]: 0.000e+00 [ 6,11]: 0.000e+00 [ 6,12]: 1.651e+03 [ 6,13]: 0.000e+00 [ 6,14]: 0.000e+00 [ 6,15]: 0.000e+00 [ 6,16]: 0.000e+00 [ 6,17]: 0.000e+00 [ 6,18]: 0.000e+00 [ 6,19]: 0.000e+00 [ 6,20]: 0.000e+00 [ 6,21]: 0.000e+00 [ 6,22]: 0.000e+00 [ 6,23]: 0.000e+00 [ 6,24]: 0.000e+00 [ 6,25]: 0.000e+00 [ 6,26]: 0.000e+00 [ 6,27]: 0.000e+00 [ 6,28]: 0.000e+00 [ 6,29]: 0.000e+00 [ 6,30]: 0.000e+00 [ 6,31]: 0.000e+00 [ 6,32]: 0.000e+00 [ 6,33]: 0.000e+00 [ 6,34]: 0.000e+00 [ 6,35]: 0.000e+00 [ 6,36]: 0.000e+00 [ 6,37]: 0.000e+00 [ 6,38]: 0.000e+00 [ 6,39]: 0.000e+00 [ 6,40]: 0.000e+00 [ 6,41]: 0.000e+00 [ 6,42]: 0.000e+00 [ 6,43]: 0.000e+00 [ 6,44]: 0.000e+00 [ 6,45]: 0.000e+00 [ 6,46]: 0.000e+00 [ 6,47]: 0.000e+00 [ 6,48]: 0.000e+00 
[ 7, 1]:-1.111e+08 [ 7, 2]: 0.000e+00 [ 7, 3]: 0.000e+00 [ 7, 4]: 0.000e+00 [ 7, 5]: 0.000e+00 [ 7, 6]: 0.000e+00 [ 7, 7]: 1.111e+09 [ 7, 8]: 0.000e+00 [ 7, 9]: 0.000e+00 [ 7,10]: 0.000e+00 [ 7,11]: 0.000e+00 [ 7,12]: 0.000e+00 [ 7,13]:-1.000e+09 [ 7,14]: 0.000e+00 [ 7,15]: 0.000e+00 [ 7,16]: 0.000e+00 [ 7,17]: 0.000e+00 [ 7,18]: 0.000e+00 [ 7,19]: 0.000e+00 [ 7,20]: 0.000e+00 [ 7,21]: 0.000e+00 [ 7,22]: 0.000e+00 [ 7,23]: 0.000e+00 [ 7,24]: 0.000e+00 [ 7,25]: 0.000e+00 [ 7,26]: 0.000e+00 [ 7,27]: 0.000e+00 [ 7,28]: 0.000e+00 [ 7,29]: 0.000e+00 [ 7,30]: 0.000e+00 [ 7,31]: 0.000e+00 [ 7,32]: 0.000e+00 [ 7,33]: 0.000e+00 [ 7,34]: 0.000e+00 [ 7,35]: 0.000e+00 [ 7,36]: 0.000e+00 [ 7,37]: 0.000e+00 [ 7,38]: 0.000e+00 [ 7,39]: 0.000e+00 [ 7,40]: 0.000e+00 [ 7,41]: 0.000e+00 [ 7,42]: 0.000e+00 [ 7,43]: 0.000e+00 [ 7,44]: 0.000e+00 [ 7,45]: 0.000e+00 [ 7,46]: 0.000e+00 [ 7,47]: 0.000e+00 [ 7,48]: 0.000e+00 
[ 8, 1]: 0.000e+00 [ 8, 2]:-2.597e+06 [ 8, 3]: 0.000e+00 [ 8, 4]: 7.771e-13 [ 8, 5]: 0.000e+00 [ 8, 6]:-8.182e+04 [ 8, 7]: 0.000e+00 [ 8, 8]: 2.821e+08 [ 8, 9]: 0.000e+00 [ 8,10]: 0.000e+00 [ 8,11]: 0.000e+00 [ 8,12]: 8.965e+05 [ 8,13]: 0.000e+00 [ 8,14]:-2.795e+08 [ 8,15]: 0.000e+00 [ 8,16]: 8.142e-11 [ 8,17]: 0.000e+00 [ 8,18]: 9.783e+05 [ 8,19]: 0.000e+00 [ 8,20]: 0.000e+00 [ 8,21]: 0.000e+00 [ 8,22]: 0.000e+00 [ 8,23]: 0.000e+00 [ 8,24]: 0.000e+00 [ 8,25]: 0.000e+00 [ 8,26]: 0.000e+00 [ 8,27]: 0.000e+00 [ 8,28]: 0.000e+00 [ 8,29]: 0.000e+00 [ 8,30]: 0.000e+00 [ 8,31]: 0.000e+00 [ 8,32]: 0.000e+00 [ 8,33]: 0.000e+00 [ 8,34]: 0.000e+00 [ 8,35]: 0.000e+00 [ 8,36]: 0.000e+00 [ 8,37]: 0.000e+00 [ 8,38]: 0.000e+00 [ 8,39]: 0.000e+00 [ 8,40]: 0.000e+00 [ 8,41]: 0.000e+00 [ 8,42]: 0.000e+00 [ 8,43]: 0.000e+00 [ 8,44]: 0.000e+00 [ 8,45]: 0.000e+00 [ 8,46]: 0.000e+00 [ 8,47]: 0.000e+00 [ 8,48]: 0.000e+00 
[ 9, 1]: 0.000e+00 [ 9, 2]: 0.000e+00 [ 9, 3]:-2.597e+06 [ 9, 4]: 6.522e-06 [ 9, 5]: 8.182e+04 [ 9, 6]: 0.000e+00 [ 9, 7]: 0.000e+00 [ 9, 8]: 0.000e+00 [ 9, 9]: 2.821e+08 [ 9,10]: 1.665e-05 [ 9,11]:-8.965e+05 [ 9,12]: 0.000e+00 [ 9,13]: 0.000e+00 [ 9,14]: 0.000e+00 [ 9,15]:-2.795e+08 [ 9,16]: 7.879e-07 [ 9,17]:-9.783e+05 [ 9,18]: 0.000e+00 [ 9,19]: 0.000e+00 [ 9,20]: 0.000e+00 [ 9,21]: 0.000e+00 [ 9,22]: 0.000e+00 [ 9,23]: 0.000e+00 [ 9,24]: 0.000e+00 [ 9,25]: 0.000e+00 [ 9,26]: 0.000e+00 [ 9,27]: 0.000e+00 [ 9,28]: 0.000e+00 [ 9,29]: 0.000e+00 [ 9,30]: 0.000e+00 [ 9,31]: 0.000e+00 [ 9,32]: 0.000e+00 [ 9,33]: 0.000e+00 [ 9,34]: 0.000e+00 [ 9,35]: 0.000e+00 [ 9,36]: 0.000e+00 [ 9,37]: 0.000e+00 [ 9,38]: 0.000e+00 [ 9,39]: 0.000e+00 [ 9,40]: 0.000e+00 [ 9,41]: 0.000e+00 [ 9,42]: 0.000e+00 [ 9,43]: 0.000e+00 [ 9,44]: 0.000e+00 [ 9,45]: 0.000e+00 [ 9,46]: 0.000e+00 [ 9,47]: 0.000e+00 [ 9,48]: 0.000e+00 
[10, 1]: 0.000e+00 [10, 2]: 0.000e+00 [10, 3]: 6.522e-06 [10, 4]:-6.095e+02 [10, 5]:-9.222e-08 [10, 6]: 0.000e+00 [10, 7]: 0.000e+00 [10, 8]: 0.000e+00 [10, 9]: 1.665e-05 [10,10]: 6.095e+03 [10,11]: 1.328e-07 [10,12]: 0.000e+00 [10,13]: 0.000e+00 [10,14]: 0.000e+00 [10,15]: 7.879e-07 [10,16]:-5.486e+03 [10,17]: 1.360e-09 [10,18]: 0.000e+00 [10,19]: 0.000e+00 [10,20]: 0.000e+00 [10,21]: 0.000e+00 [10,22]: 0.000e+00 [10,23]: 0.000e+00 [10,24]: 0.000e+00 [10,25]: 0.000e+00 [10,26]: 0.000e+00 [10,27]: 0.000e+00 [10,28]: 0.000e+00 [10,29]: 0.000e+00 [10,30]: 0.000e+00 [10,31]: 0.000e+00 [10,32]: 0.000e+00 [10,33]: 0.000e+00 [10,34]: 0.000e+00 [10,35]: 0.000e+00 [10,36]: 0.000e+00 [10,37]: 0.000e+00 [10,38]: 0.000e+00 [10,39]: 0.000e+00 [10,40]: 0.000e+00 [10,41]: 0.000e+00 [10,42]: 0.000e+00 [10,43]: 0.000e+00 [10,44]: 0.000e+00 [10,45]: 0.000e+00 [10,46]: 0.000e+00 [10,47]: 0.000e+00 [10,48]: 0.000e+00 
[11, 1]: 0.000e+00 [11, 2]: 0.000e+00 [11, 3]:-8.182e+04 [11, 4]: 9.222e-08 [11, 5]: 1.651e+03 [11, 6]: 0.000e+00 [11, 7]: 0.000e+00 [11, 8]: 0.000e+00 [11, 9]:-8.965e+05 [11,10]: 1.328e-07 [11,11]: 1.526e+04 [11,12]: 0.000e+00 [11,13]: 0.000e+00 [11,14]: 0.000e+00 [11,15]: 9.783e+05 [11,16]:-1.360e-09 [11,17]:-4.909e+03 [11,18]: 0.000e+00 [11,19]: 0.000e+00 [11,20]: 0.000e+00 [11,21]: 0.000e+00 [11,22]: 0.000e+00 [11,23]: 0.000e+00 [11,24]: 0.000e+00 [11,25]: 0.000e+00 [11,26]: 0.000e+00 [11,27]: 0.000e+00 [11,28]: 0.000e+00 [11,29]: 0.000e+00 [11,30]: 0.000e+00 [11,31]: 0.000e+00 [11,32]: 0.000e+00 [11,33]: 0.000e+00 [11,34]: 0.000e+00 [11,35]: 0.000e+00 [11,36]: 0.000e+00 [11,37]: 0.000e+00 [11,38]: 0.000e+00 [11,39]: 0.000e+00 [11,40]: 0.000e+00 [11,41]: 0.000e+00 [11,42]: 0.000e+00 [11,43]: 0.000e+00 [11,44]: 0.000e+00 [11,45]: 0.000e+00 [11,46]: 0.000e+00 [11,47]: 0.000e+00 [11,48]: 0.000e+00 
