
MAT_M: 
[ 1, 1]: 1.638e-02 [ 1, 2]: 0.000e+00 [ 1, 3]: 0.000e+00 [ 1, 4]: 0.000e+00 [ 1, 5]: 0.000e+00 [ 1, 6]: 0.000e+00 [ 1, 7]: 8.190e-03 [ 1, 8]: 0.000e+00 [ 1, 9]: 0.000e+00 [ 1,10]: 0.000e+00 [ 1,11]: 0.000e+00 [ 1,12]: 0.000e+00 [ 1,13]: 0.000e+00 [ 1,14]: 0.000e+00 [ 1,15]: 0.000e+00 [ 1,16]: 0.000e+00 [ 1,17]: 0.000e+00 [ 1,18]: 0.000e+00 [ 1,19]: 1.504e-18 [ 1,20]:-3.406e-17 [ 1,21]:-3.333e-18 [ 1,22]: 5.098e-18 [ 1,23]:-2.527e-17 [ 1,24]: 9.979e-02 [ 1,25]: 4.495e-17 [ 1,26]:-1.395e-16 [ 1,27]:-3.377e-17 [ 1,28]: 1.538e-16 [ 1,29]: 5.823e-16 [ 1,30]: 7.337e-17 [ 1,31]:-4.989e-02 [ 1,32]:-5.950e-17 [ 1,33]: 5.935e-17 [ 1,34]: 5.438e-17 [ 1,35]: 9.253e-17 [ 1,36]: 2.716e-16 [ 1,37]: 1.363e-16 [ 1,38]: 3.326e-02 [ 1,39]: 3.753e-17 [ 1,40]: 3.363e-18 [ 1,41]: 1.279e-17 [ 1,42]:-8.199e-16 [ 1,43]:-2.196e-15 [ 1,44]:-2.495e-02 [ 1,45]:-3.740e-15 [ 1,46]: 9.563e-17 [ 1,47]:-4.834e-17 [ 1,48]:-2.415e-16 
[ 2, 1]: 0.000e+00 [ 2, 2]: 1.821e-02 [ 2, 3]: 0.000e+00 [ 2, 4]:-5.325e-21 [ 2, 5]: 0.000e+00 [ 2, 6]: 1.596e-04 [ 2, 7]: 0.000e+00 [ 2, 8]: 6.362e-03 [ 2, 9]: 0.000e+00 [ 2,10]: 0.000e+00 [ 2,11]: 0.000e+00 [ 2,12]:-9.837e-05 [ 2,13]: 0.000e+00 [ 2,14]: 0.000e+00 [ 2,15]: 0.000e+00 [ 2,16]: 0.000e+00 [ 2,17]: 0.000e+00 [ 2,18]: 0.000e+00 [ 2,19]: 9.336e-02 [ 2,20]:-3.924e-05 [ 2,21]: 2.100e-17 [ 2,22]:-3.783e-04 [ 2,23]:-5.916e-02 [ 2,24]: 3.489e-17 [ 2,25]: 1.002e-16 [ 2,26]: 5.835e-05 [ 2,27]: 4.256e-02 [ 2,28]:-5.287e-05 [ 2,29]:-3.293e-02 [ 2,30]:-2.040e-17 [ 2,31]:-2.750e-16 [ 2,32]:-4.331e-04 [ 2,33]: 2.639e-02 [ 2,34]: 6.052e-17 [ 2,35]:-5.633e-05 [ 2,36]:-2.170e-02 [ 2,37]:-4.192e-16 [ 2,38]: 1.372e-16 [ 2,39]: 5.025e-05 [ 2,40]:-1.820e-02 [ 2,41]:-2.443e-16 [ 2,42]:-1.310e-04 [ 2,43]:-1.481e-02 [ 2,44]: 1.409e-15 [ 2,45]: 1.287e-15 [ 2,46]:-1.534e-05 [ 2,47]: 4.404e-03 [ 2,48]: 6.599e-05 
[ 3, 1]: 0.000e+00 [ 3, 2]: 0.000e+00 [ 3, 3]: 1.821e-02 [ 3, 4]:-5.936e-15 [ 3, 5]:-1.596e-04 [ 3, 6]: 0.000e+00 [ 3, 7]: 0.000e+00 [ 3, 8]: 0.000e+00 [ 3, 9]: 6.362e-03 [ 3,10]:-5.242e-15 [ 3,11]: 9.837e-05 [ 3,12]: 0.000e+00 [ 3,13]: 0.000e+00 [ 3,14]: 0.000e+00 [ 3,15]: 0.000e+00 [ 3,16]: 0.000e+00 [ 3,17]: 0.000e+00 [ 3,18]: 0.000e+00 [ 3,19]:-3.924e-05 [ 3,20]:-9.336e-02 [ 3,21]: 5.651e-13 [ 3,22]: 5.916e-02 [ 3,23]:-3.783e-04 [ 3,24]:-9.784e-17 [ 3,25]:-1.438e-13 [ 3,26]: 4.256e-02 [ 3,27]:-5.835e-05 [ 3,28]: 3.293e-02 [ 3,29]:-5.287e-05 [ 3,30]: 7.902e-14 [ 3,31]:-9.128e-17 [ 3,32]: 2.639e-02 [ 3,33]: 4.331e-04 [ 3,34]:-5.375e-14 [ 3,35]: 2.170e-02 [ 3,36]:-5.633e-05 [ 3,37]: 4.034e-14 [ 3,38]:-1.667e-17 [ 3,39]: 1.820e-02 [ 3,40]: 5.025e-05 [ 3,41]:-3.113e-14 [ 3,42]: 1.481e-02 [ 3,43]:-1.310e-04 [ 3,44]:-6.855e-16 [ 3,45]: 2.179e-14 [ 3,46]:-4.404e-03 [ 3,47]:-1.534e-05 [ 3,48]:-8.953e-03 
[ 4, 1]: 0.000e+00 [ 4, 2]:-5.325e-21 [ 4, 3]:-5.936e-15 [ 4, 4]: 2.730e-07 [ 4, 5]: 7.653e-17 [ 4, 6]:-4.687e-23 [ 4, 7]: 0.000e+00 [ 4, 8]:-1.875e-21 [ 4, 9]:-5.242e-15 [ 4,10]: 1.365e-07 [ 4,11]:-7.167e-17 [ 4,12]: 2.896e-23 [ 4,13]: 0.000e+00 [ 4,14]: 0.000e+00 [ 4,15]: 0.000e+00 [ 4,16]: 0.000e+00 [ 4,17]: 0.000e+00 [ 4,18]: 0.000e+00 [ 4,19]: 2.586e-17 [ 4,20]: 6.169e-14 [ 4,21]: 4.074e-04 [ 4,22]:-6.052e-15 [ 4,23]: 3.885e-17 [ 4,24]:-1.258e-19 [ 4,25]:-2.037e-04 [ 4,26]:-1.482e-15 [ 4,27]: 2.778e-18 [ 4,28]:-5.988e-16 [ 4,29]: 1.234e-18 [ 4,30]: 1.358e-04 [ 4,31]: 6.670e-19 [ 4,32]:-3.235e-16 [ 4,33]:-4.812e-18 [ 4,34]:-1.018e-04 [ 4,35]:-2.098e-16 [ 4,36]:-2.809e-19 [ 4,37]: 8.148e-05 [ 4,38]: 2.041e-19 [ 4,39]:-1.489e-16 [ 4,40]:-1.471e-19 [ 4,41]:-6.790e-05 [ 4,42]:-9.807e-17 [ 4,43]: 4.774e-18 [ 4,44]:-7.705e-18 [ 4,45]: 5.820e-05 [ 4,46]: 3.323e-17 [ 4,47]:-3.288e-18 [ 4,48]: 6.359e-17 
[ 5, 1]: 0.000e+00 [ 5, 2]: 0.000e+00 [ 5, 3]:-1.596e-04 [ 5, 4]: 7.653e-17 [ 5, 5]: 1.877e-06 [ 5, 6]: 0.000e+00 [ 5, 7]: 0.000e+00 [ 5, 8]: 0.000e+00 [ 5, 9]:-9.837e-05 [ 5,10]: 7.167e-17 [ 5,11]:-1.441e-06 [ 5,12]: 0.000e+00 [ 5,13]: 0.000e+00 [ 5,14]: 0.000e+00 [ 5,15]: 0.000e+00 [ 5,16]: 0.000e+00 [ 5,17]: 0.000e+00 [ 5,18]: 0.000e+00 [ 5,19]: 5.323e-07 [ 5,20]: 1.266e-03 [ 5,21]:-1.051e-14 [ 5,22]:-4.431e-04 [ 5,23]: 2.833e-06 [ 5,24]: 1.079e-18 [ 5,25]: 1.471e-15 [ 5,26]:-2.087e-04 [ 5,27]: 2.861e-07 [ 5,28]:-1.102e-04 [ 5,29]: 1.770e-07 [ 5,30]:-4.654e-16 [ 5,31]: 8.108e-19 [ 5,32]:-6.094e-05 [ 5,33]:-1.000e-06 [ 5,34]: 1.922e-16 [ 5,35]:-3.329e-05 [ 5,36]: 8.640e-08 [ 5,37]:-8.749e-17 [ 5,38]: 1.342e-19 [ 5,39]:-1.651e-05 [ 5,40]:-4.559e-08 [ 5,41]: 3.622e-17 [ 5,42]: 2.189e-07 [ 5,43]:-1.937e-09 [ 5,44]: 7.061e-19 [ 5,45]:-4.469e-18 [ 5,46]: 2.217e-05 [ 5,47]: 7.724e-08 [ 5,48]:-2.393e-05 
[ 6, 1]: 0.000e+00 [ 6, 2]: 1.596e-04 [ 6, 3]: 0.000e+00 [ 6, 4]:-4.687e-23 [ 6, 5]: 0.000e+00 [ 6, 6]: 1.877e-06 [ 6, 7]: 0.000e+00 [ 6, 8]: 9.837e-05 [ 6, 9]: 0.000e+00 [ 6,10]: 0.000e+00 [ 6,11]: 0.000e+00 [ 6,12]:-1.441e-06 [ 6,13]: 0.000e+00 [ 6,14]: 0.000e+00 [ 6,15]: 0.000e+00 [ 6,16]: 0.000e+00 [ 6,17]: 0.000e+00 [ 6,18]: 0.000e+00 [ 6,19]: 1.266e-03 [ 6,20]:-5.323e-07 [ 6,21]: 1.518e-19 [ 6,22]:-2.833e-06 [ 6,23]:-4.431e-04 [ 6,24]: 1.595e-19 [ 6,25]: 2.990e-19 [ 6,26]: 2.861e-07 [ 6,27]: 2.087e-04 [ 6,28]:-1.770e-07 [ 6,29]:-1.102e-04 [ 6,30]:-2.869e-20 [ 6,31]:-1.233e-18 [ 6,32]:-1.000e-06 [ 6,33]: 6.094e-05 [ 6,34]:-1.283e-19 [ 6,35]:-8.640e-08 [ 6,36]:-3.329e-05 [ 6,37]:-5.023e-19 [ 6,38]: 2.083e-19 [ 6,39]: 4.559e-08 [ 6,40]:-1.651e-05 [ 6,41]:-3.524e-19 [ 6,42]: 1.937e-09 [ 6,43]: 2.189e-07 [ 6,44]:-4.891e-20 [ 6,45]: 1.262e-19 [ 6,46]:-7.724e-08 [ 6,47]: 2.217e-05 [ 6,48]:-1.764e-07 
[ 7, 1]: 8.190e-03 [ 7, 2]: 0.000e+00 [ 7, 3]: 0.000e+00 [ 7, 4]: 0.000e+00 [ 7, 5]: 0.000e+00 [ 7, 6]: 0.000e+00 [ 7, 7]: 1.820e-02 [ 7, 8]: 0.000e+00 [ 7, 9]: 0.000e+00 [ 7,10]: 0.000e+00 [ 7,11]: 0.000e+00 [ 7,12]: 0.000e+00 [ 7,13]: 9.100e-04 [ 7,14]: 0.000e+00 [ 7,15]: 0.000e+00 [ 7,16]: 0.000e+00 [ 7,17]: 0.000e+00 [ 7,18]: 0.000e+00 [ 7,19]:-2.986e-17 [ 7,20]:-1.073e-17 [ 7,21]: 2.550e-18 [ 7,22]: 2.464e-18 [ 7,23]:-4.289e-17 [ 7,24]: 9.979e-02 [ 7,25]: 2.756e-17 [ 7,26]: 1.159e-16 [ 7,27]:-7.900e-17 [ 7,28]:-1.303e-16 [ 7,29]:-4.316e-16 [ 7,30]:-1.827e-17 [ 7,31]: 4.989e-02 [ 7,32]: 3.257e-17 [ 7,33]:-4.965e-17 [ 7,34]:-1.207e-16 [ 7,35]: 1.048e-16 [ 7,36]: 2.779e-16 [ 7,37]:-3.372e-16 [ 7,38]: 3.326e-02 [ 7,39]: 8.677e-17 [ 7,40]: 1.201e-16 [ 7,41]:-1.538e-16 [ 7,42]: 1.015e-15 [ 7,43]: 2.072e-15 [ 7,44]: 2.495e-02 [ 7,45]: 3.561e-15 [ 7,46]:-1.680e-16 [ 7,47]:-3.590e-17 [ 7,48]: 3.865e-16 
[ 8, 1]: 0.000e+00 [ 8, 2]: 6.362e-03 [ 8, 3]: 0.000e+00 [ 8, 4]:-1.875e-21 [ 8, 5]: 0.000e+00 [ 8, 6]: 9.837e-05 [ 8, 7]: 0.000e+00 [ 8, 8]: 2.007e-02 [ 8, 9]: 0.000e+00 [ 8,10]: 0.000e+00 [ 8,11]: 0.000e+00 [ 8,12]:-1.584e-04 [ 8,13]: 0.000e+00 [ 8,14]: 8.637e-04 [ 8,15]: 0.000e+00 [ 8,16]:-2.513e-22 [ 8,17]: 0.000e+00 [ 8,18]:-1.919e-06 [ 8,19]: 9.336e-02 [ 8,20]:-3.924e-05 [ 8,21]:-1.031e-17 [ 8,22]: 3.783e-04 [ 8,23]: 5.916e-02 [ 8,24]:-5.147e-18 [ 8,25]: 1.564e-16 [ 8,26]: 5.835e-05 [ 8,27]: 4.256e-02 [ 8,28]: 5.287e-05 [ 8,29]: 3.293e-02 [ 8,30]: 1.289e-18 [ 8,31]: 3.101e-16 [ 8,32]:-4.331e-04 [ 8,33]: 2.639e-02 [ 8,34]: 9.000e-17 [ 8,35]: 5.633e-05 [ 8,36]: 2.170e-02 [ 8,37]: 5.902e-16 [ 8,38]:-2.314e-17 [ 8,39]: 5.025e-05 [ 8,40]:-1.820e-02 [ 8,41]:-2.980e-17 [ 8,42]: 1.310e-04 [ 8,43]: 1.481e-02 [ 8,44]:-1.130e-15 [ 8,45]:-9.195e-16 [ 8,46]: 1.534e-05 [ 8,47]:-4.404e-03 [ 8,48]: 6.599e-05 
[ 9, 1]: 0.000e+00 [ 9, 2]: 0.000e+00 [ 9, 3]: 6.362e-03 [ 9, 4]:-5.242e-15 [ 9, 5]:-9.837e-05 [ 9, 6]: 0.000e+00 [ 9, 7]: 0.000e+00 [ 9, 8]: 0.000e+00 [ 9, 9]: 2.007e-02 [ 9,10]:-5.940e-15 [ 9,11]: 1.584e-04 [ 9,12]: 0.000e+00 [ 9,13]: 0.000e+00 [ 9,14]: 0.000e+00 [ 9,15]: 8.637e-04 [ 9,16]:-3.151e-18 [ 9,17]: 1.919e-06 [ 9,18]: 0.000e+00 [ 9,19]:-3.924e-05 [ 9,20]:-9.336e-02 [ 9,21]: 5.651e-13 [ 9,22]:-5.916e-02 [ 9,23]: 3.783e-04 [ 9,24]:-6.171e-17 [ 9,25]: 1.440e-13 [ 9,26]: 4.256e-02 [ 9,27]:-5.835e-05 [ 9,28]:-3.293e-02 [ 9,29]: 5.287e-05 [ 9,30]: 7.900e-14 [ 9,31]:-2.406e-16 [ 9,32]: 2.639e-02 [ 9,33]: 4.331e-04 [ 9,34]: 5.425e-14 [ 9,35]:-2.170e-02 [ 9,36]: 5.633e-05 [ 9,37]: 3.986e-14 [ 9,38]: 8.192e-17 [ 9,39]: 1.820e-02 [ 9,40]: 5.025e-05 [ 9,41]: 3.133e-14 [ 9,42]:-1.481e-02 [ 9,43]: 1.310e-04 [ 9,44]: 4.910e-16 [ 9,45]: 2.853e-14 [ 9,46]: 4.404e-03 [ 9,47]: 1.534e-05 [ 9,48]:-8.953e-03 
[10, 1]: 0.000e+00 [10, 2]: 0.000e+00 [10, 3]:-5.242e-15 [10, 4]: 1.365e-07 [10, 5]: 7.167e-17 [10, 6]: 0.000e+00 [10, 7]: 0.000e+00 [10, 8]: 0.000e+00 [10, 9]:-5.940e-15 [10,10]: 3.033e-07 [10,11]:-7.653e-17 [10,12]: 0.000e+00 [10,13]: 0.000e+00 [10,14]: 0.000e+00 [10,15]:-3.151e-18 [10,16]: 1.517e-08 [10,17]:-4.941e-21 [10,18]: 0.000e+00 [10,19]: 2.606e-17 [10,20]: 6.169e-14 [10,21]: 4.074e-04 [10,22]: 6.052e-15 [10,23]:-3.880e-17 [10,24]: 3.051e-20 [10,25]: 2.037e-04 [10,26]:-1.483e-15 [10,27]: 1.475e-18 [10,28]: 5.990e-16 [10,29]:-9.142e-19 [10,30]: 1.358e-04 [10,31]: 1.184e-18 [10,32]:-3.254e-16 [10,33]:-5.430e-18 [10,34]: 1.018e-04 [10,35]: 2.084e-16 [10,36]:-1.604e-18 [10,37]: 8.148e-05 [10,38]: 1.659e-19 [10,39]:-1.497e-16 [10,40]:-1.233e-18 [10,41]: 6.790e-05 [10,42]: 1.219e-16 [10,43]: 3.088e-18 [10,44]:-8.143e-18 [10,45]: 5.820e-05 [10,46]:-4.053e-17 [10,47]:-2.570e-18 [10,48]: 7.892e-17 
[11, 1]: 0.000e+00 [11, 2]: 0.000e+00 [11, 3]: 9.837e-05 [11, 4]:-7.167e-17 [11, 5]:-1.441e-06 [11, 6]: 0.000e+00 [11, 7]: 0.000e+00 [11, 8]: 0.000e+00 [11, 9]: 1.584e-04 [11,10]:-7.653e-17 [11,11]: 1.892e-06 [11,12]: 0.000e+00 [11,13]: 0.000e+00 [11,14]: 0.000e+00 [11,15]:-1.919e-06 [11,16]: 4.941e-21 [11,17]: 2.500e-09 [11,18]: 0.000e+00 [11,19]:-5.323e-07 [11,20]:-1.266e-03 [11,21]: 1.051e-14 [11,22]:-4.431e-04 [11,23]: 2.833e-06 [11,24]:-9.966e-19 [11,25]: 1.472e-15 [11,26]: 2.087e-04 [11,27]:-2.861e-07 [11,28]:-1.102e-04 [11,29]: 1.770e-07 [11,30]: 4.654e-16 [11,31]:-9.606e-19 [11,32]: 6.094e-05 [11,33]: 1.000e-06 [11,34]: 1.931e-16 [11,35]:-3.329e-05 [11,36]: 8.640e-08 [11,37]: 8.727e-17 [11,38]:-8.761e-20 [11,39]: 1.651e-05 [11,40]: 4.559e-08 [11,41]: 3.632e-17 [11,42]: 2.189e-07 [11,43]:-1.937e-09 [11,44]:-8.524e-19 [11,45]: 7.802e-18 [11,46]: 2.217e-05 [11,47]: 7.724e-08 [11,48]: 2.393e-05 
